Orgnummer; Name; Phone; Form; Bundet; BindningsTid
"XPANDIA, AB";"5567257596";" 0704965529";"Jobbmobil Obegränsad MFA";"Ja";"20221123"
"XPANDIA, AB";"5567257596";" 0705141124";"Jobbmobil Obegränsad MFA";"Ja";"20210214"
"GELSER CREATIVE, AB";"5591207278";" 0727280199";"Jobbmobil 40 GB";"Ja";"20221002"
"ASCON ANDREAS STENBERG CONSULTING, AB";"5568562606";" 0705536655";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220821"
"C. NÄSSTRÖM EKONOMIKONSULT, AB";"5566788617";" 0704400463";"Jobbmobil Multi 30 GB MFA";"Nej";" "
"CBK I ABC-LÄN, AB";"5564135852";" 0734255288";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"DALA PERFORMANCE, AB";"5568960248";" 0730543402";"Jobbmobil Multi 60 GB MFA";"Ja";"20210827"
"DALA PERFORMANCE, AB";"5568960248";" 0709622832";"Jobbmobil Multi 120 GB MFA";"Nej";" "
"DR PERKOVIC SPECIALISTLÄKARMOTTAGNING AB";"5564791811";" 0733234617";"Jobbmobil 40 GB Osub MFA";"Ja";"20221123"
"DR PERKOVIC SPECIALISTLÄKARMOTTAGNING AB";"5564791811";" 0730874089";"Jobbmobil 40 GB Osub MFA";"Ja";"20221123"
"DR PERKOVIC SPECIALISTLÄKARMOTTAGNING AB";"5564791811";" 0730593438";"Jobbmobil 40 GB Osub MFA";"Ja";"20221125"
"EDVINZON & JEDBERGER EKONOMIKONSULTER AB";"5568689748";" 0709265206";"Jobbmobil Multi 10 GB Osub";"Ja";"20210108"
"EDVINZON & JEDBERGER EKONOMIKONSULTER AB";"5568689748";" 0709265206";"Jobbmobil Multi 10 GB Osub";"Ja";"20210108"
"HELCA STOCKHOLM, AB";"5567625412";" 0708631462";"Jobbmobil Obegränsad MFA";"Ja";"20210126"
"KVILLE FÖRVALTNING, AB";"5569733164";" 0703645930";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210902"
"KVILLE FÖRVALTNING, AB";"5569733164";" 0707424150";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210902"
"LJUNGSKILE RÖR & MONTAGE, AB";"5566401153";" 0705515928";"Telia Kontantkort";"Nej";" "
"PETITE ANNA VARGAS, AB";"5568277056";" 0768324120";"Telia Jobbmobil Multi 2 GB";"Nej";" "
"PETITE ANNA VARGAS, AB";"5568277056";" 0705509901";"Telia Jobbmobil Multi 30 GB";"Ja";"20201221"
"SLÖINGE BIL & BENSIN, AB";"5566384359";" 0733647773";"Jobbmobil Multi 30 GB MFA";"Ja";"20211218"
"SUNDELLS ENTREPRENAD OCH KROSS, AB";"5591030118";" 0730840068";"Jobbmobil Obegränsad";"Ja";"20211216"
"TORSLANDA FORDONSKYLA & SERVICE, AB";"5567776819";" 0703925031";"Jobbmobil Multi 10 GB Osub";"Ja";"20211129"
"TORSLANDA FORDONSKYLA & SERVICE, AB";"5567776819";" 0703925031";"Jobbmobil Multi 10 GB Osub";"Ja";"20211129"
"ADVOKAT ARNE NORDBÅGE, AB";"5564797826";" 0708724333";"Jobbmobil Rörlig TFA 110322";"Nej";" "
"ADVOKAT ARNE NORDBÅGE, AB";"5564797826";" 0708109483";"Jobbmobil Rörlig TFA 110322";"Nej";" "
"ADVOKAT ARNE NORDBÅGE, AB";"5564797826";" 0703756882";"Jobbmobil Bas TFA";"Nej";" "
"ADVOKAT ARNE NORDBÅGE, AB";"5564797826";" 0703756398";"Jobbmobil Bas TFA";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180009";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180002";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220403"
"ALMHEM CONSULTING, AB";"5565436788";" 0704180000";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20220403"
"ALMHEM CONSULTING, AB";"5565436788";" 0704180004";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180005";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180006";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180007";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180008";"Paus Avtal";"Nej";" "
"ALMHEM CONSULTING, AB";"5565436788";" 0704180001";"Paus Avtal";"Nej";" "
"FARANDOLE COMMUNICATIONS, AB";"5566998232";" 0706432780";"Jobbmobil Multi 10 GB MFA";"Nej";" "
"FARANDOLE COMMUNICATIONS, AB";"5566998232";" 0705589868";"Jobbmobil Multi 10 GB MFA";"Ja";"20220312"
"FUTURE FRIDAYS LINDA WASELL, AB";"5592143670";" 0706747474";"Jobbmobil 25 GB";"Nej";" "
"ROTSTEIN ARKITEKTER, AB";"5565467239";" 0708339270";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20210315"
"SMEDJANHUSET, AB";"5567425524";" 0705854856";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"SQUASH REKLAM & PROMOTION, AB";"5567235410";" 0708523200";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"SQUASH REKLAM & PROMOTION, AB";"5567235410";" 0708523200";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"SVERNHAGE BYGGLEDNING, AB";"5565096145";" 0705879840";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211009"
"SVERNHAGE BYGGLEDNING, AB";"5565096145";" 0706745945";"Jobbmobil Multi 30 GB MFA Osub";"Ja";"20211009"
"VALDON I VÄNERSBORG, AB";"5590764105";" 0738424660";"Telia Kontantkort";"Nej";" "
"VISION IN SIGHT AE, AB";"5591359517";" 0732519121";"Telia Jobbmobil Multi 10 GB";"Ja";"20210323"
"BJELKEBRÄCKA FASTIGHETS, AB";"5564409844";" 0703252764";"Jobbmobil 1 GB";"Nej";" "
"ENERKON VVS-TEKNIK, AB";"5562186089";" 0707970184";"Jobbmobil Multi 10 GB MFA";"Ja";"20220121"
"ENERKON VVS-TEKNIK, AB";"5562186089";" 0707970185";"Jobbmobil Multi 10 GB MFA";"Ja";"20220121"
"JLW STOCKHOLM, AB";"5591505663";" 0768029417";"Telia Jobbmobil Multi 30 GB";"Ja";"20210117"
"JONNA BORNEMARK, AB";"5592087869";" 0703666966";"Jobbmobil Multi 10 GB Osub";"Ja";"20220122"
"KITAB GRYTHYTTAN, AB";"5564550548";" 0722249906";"Telia Jobbmobil Multi 30 GB";"Ja";"20210504"
"LILLPITE KRAFT, AB";"5562184928";" 0706679616";"Jobbmobil Bas TFA";"Nej";" "
"MÖCKLAMO MÅLERI, AB";"5591097026";" 0706485785";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20211021"
"SKYLTART I GÖTEBORG, AB";"5565480968";" 0708955720";"Telia Jobbmobil Multi 30 GB";"Ja";"20210604"
"SLAGNÄS CAMPING & STUGBY, AB";"5591092019";" 0730604334";"Jobbmobil Obegränsad MFA";"Nej";" "
"WIKSTENS DATORER & SERVICE, AB";"5567766729";" 0706880457";"Jobbmobil Multi 10 GB Osub";"Ja";"20220120"
"WISEWOOD CONSULTING, AB";"5568074073";" 0705307550";"Jobbmobil Multi 30 GB MFA";"Ja";"20210109"
"WLAZLO BYGG, AB";"5564825809";" 0706256598";"Jobbmobil Multi 20 GB TFA";"Nej";" "
"BOVIBO,, AB";"5568812936";" 0706393292";"Jobbmobil Multi 30 GB MFA";"Ja";"20210323"
"AVIOR, AB";"5568773997";" 0737660411";"Telia Jobbmobil Mix 120924";"Nej";" "
"GORAN B FASTIGHET, AB";"5591429526";" 0702497588";"Jobbmobil Multi 30 GB MFA";"Ja";"20210226"
"J.HARALDSON, AB";"5569693491";" 0738154629";"Jobbmobil Obegränsad MFA";"Ja";"20210613"
"JIAOZI BAR I NORDMALING, AB";"5590803697";" 0722018524";"Telia Kontantkort";"Nej";" "
"MAGNUS ÖSTRÖM MUSIK & MEDIA, AB";"5565756375";" 0707953104";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"NILS TÄGTSTEN I FALUN, AB";"5561788018";" 0706256688";"Jobbmobil Multi 2 GB MFA";"Ja";"20210813"
"PB KONSULT I KARLSKOGA, AB";"5567395792";" 0706738407";"Telia Jobbmobil Multi 10 GB";"Ja";"20210405"
"RBDEKONOMI, AB";"5568803026";" 0703241459";"Jobbmobil Bas TFA";"Nej";" "
"RBDEKONOMI, AB";"5568803026";" 0703241459";"Jobbmobil Bas TFA";"Nej";" "
"SMEDSTORPS FASTIGHETS, AB";"5563477149";" 0708826253";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"STOCKHOLMS MEDICINSKA FOTKLINIK, AB";"5569448755";" 0762479724";"Jobbmobil 40 GB";"Ja";"20220828"
"STOCKHOLMS MEDICINSKA FOTKLINIK, AB";"5569448755";" 0762479724";"Jobbmobil 40 GB";"Ja";"20220828"
"SYDSPOL INDUSTRIER, AB";"5567309215";" 0709141516";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"TOMMY HEDMAN ELMONTAGE, AB";"5569224784";" 0706481774";"Jobbmobil Multi 20 GB TFA";"Ja";"20211024"
"VR PLÅTSLAGERI, AB";"5590661244";" 0735898685";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"VOLITO AVIATION SERVICES, AB";"5590535364";" 0706917011";"Jobbmobil Multi 20 GB TFA";"Nej";" "
"VOLITO AVIATION SERVICES, AB";"5590535364";" 0705801122";"Jobbmobil Multi 50 GB TFA";"Nej";" "
"SAVALL,, AB";"5560635798";" 0706734551";"Jobbmobil 15 GB";"Ja";"20221113"
"ALMBY REDOVISNING, AB";"5590941711";" 0768295197";"Jobbmobil 15 GB";"Ja";"20211217"
"BE THE DIFFERENCE BUSINESS PARTNER I SVE";"5590447222";" 0730863566";"Jobbmobil Multi 30 GB MFA";"Ja";"20210722"
"BE THE DIFFERENCE BUSINESS PARTNER I SVE";"5590447222";" 0706653302";"Jobbmobil Multi 10 GB MFA";"Ja";"20210109"
"BELLKOM DEVELOPMENT, AB";"5567187355";" 0706017557";"Jobbmobil Multi 30 GB MFA";"Ja";"20220626"
"BELLKOM DEVELOPMENT, AB";"5567187355";" 0706017557";"Jobbmobil Multi 30 GB MFA";"Ja";"20220626"
"BERNT ARNESSON & SON ÅKERI, AB";"5569739435";" 0706089400";"Jobbmobil Multi 10 GB";"Ja";"20210104"
"CE BROKER, AB";"5591396956";" 0730733244";"Jobbmobil Multi 30 GB MFA";"Ja";"20211004"
"CILLA RÖRBY, AB";"5568886690";" 0707620989";"Telia Jobbmobil Multi 10 GB";"Ja";"20220430"
"EASTMED CONSULTING, AB";"5568531601";" 0721837537";"Telia Jobbmobil Multi 60 GB";"Nej";" "
"EUNIL, AB";"5591737506";" 0702701369";"Jobbmobil Multi 60 GB MFA Osub";"Ja";"20201210"
"INSIDAN & UTSIDAN I KIRUNA, AB";"5590271689";" 0730688650";"Telia Jobbmobil Multi 60 GB";"Nej";" "
"JSD KOMMUNIKATION, AB";"5591768261";" 0761966656";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"LISAM, AB";"5591211114";" 0706993828";"Telia Jobbmobil Multi 10 GB";"Ja";"20220204"
"LARS WALLIN, AB";"5568005192";" 0736963604";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"LARS WALLIN, AB";"5568005192";" 0768066186";"Telia Jobbmobil Multi 30 GB";"Nej";" "
"MIRY KONSULT I SUNDSVALL, AB";"5592134232";" 0706282360";"Telia Jobbmobil Multi 30 GB";"Ja";"20210823"
"MARGAY, AB";"5568392525";" 0708558876";"Jobbmobil Multi 5 GB TFA";"Nej";" "
"MATS OLSSON MATERIAL, AB";"5567065676";" 0708310450";"Jobbmobil 40 GB Osub MFA";"Ja";"20221126"
"NORDISK FRAMTID, AB";"5564066479";" 0706933003";"Jobbmobil 3 GB";"Ja";"20221107"
"NORDISK FRAMTID, AB";"5564066479";" 0706933003";"Jobbmobil 3 GB";"Ja";"20221107"
"ONE OF A KIND RELATIONS, AB";"5591655385";" 0706106740";"Jobbmobil Multi 120 GB MFA";"Ja";"20201211"
"REDMANWALKING, AB";"5567524920";" 0739559968";"Jobbmobil Multi 50 GB TFA";"Nej";" "
"SKARABORGS SKROT, AB";"5565515961";" 0703709933";"Jobbmobil Multi 2 GB MFA Osub";"Ja";"20220629"
"THOMAS CARLSSON BYGGNADSTEKNISKA, AB";"5564597408";" 0705875656";"Jobbmobil Multi 10 GB MFAOsub";"Nej";" "
"THOMAS CARLSSON BYGGNADSTEKNISKA, AB";"5564597408";" 0705875656";"Jobbmobil Multi 10 GB MFAOsub";"Nej";" "
"BRABAR, AB";"5566098504";" 0706892772";"Jobbmobil Multi 30 GB MFA";"Ja";"20210420"
"ÖREBRO FÖNSTERMONTAGE, AB";"5568361926";" 0736006320";"Jobbmobil Multi 10 GB MFA";"Ja";"20210429"
"ÖREBRO FÖNSTERMONTAGE, AB";"5568361926";" 0736006320";"Jobbmobil Multi 10 GB MFA";"Ja";"20210429"
"ANSGARI CREATIONS, AB";"5565655494";" 0705460546";"Jobbmobil Bas 0.5 GB";"Nej";" "
"BJÖRNBOM BYGG, AB";"5569626731";" 0704240451";"Jobbmobil Obegränsad Osub";"Ja";"20220104"
"FISKEREDERI FYLGIA, AB";"5568686389";" 0703474398";"Jobbmobil Multi 30 GB MFA";"Ja";"20211102"
"FISKEREDERI FYLGIA, AB";"5568686389";" 0703474398";"Jobbmobil Multi 30 GB MFA";"Ja";"20211102"
